SW-DOWNLOAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parametric
Site,Product,SerialNumber,Special Build Name,Special Build Description,Unit Number,Station ID,Test Pass/Fail Status,StartTime,EndTime,List of Failing Tests,Version,BMLB-Serial Number,BMLB-Vendor,BTY-Serial Number,BTY-Vendor,CGS-Serial Number,CGS-Vendor,CYC-Serial Number,CYC-Vendor,HOOP-Serial Number,HOOP-Vendor,HSGA-Serial Number,HSGA-Vendor,MLB-Serial Number,MLB-Vendor,PEARL-Serial Number,PEARL-Vendor,FP_SN,JULIET_SN,OS_BUILD_VERSION_FATP,ROMEO_SN,STATION_STRING,DCSD FINISH,DCSD LOG-COLLECTION,DCSD REPORT-DATA-WRITE-CB,DCSD RESTORE  9 - The operation couldn’t be completed. (AMRestoreErrorDomain error 9 - Failed to receive message from device might be conn,DCSD RESTORE,DCSD START,hidd_nonui display ECIDCount,hidd_nonui display_on_time EFI,hidd_nonui display_on_time NonUI,hidd_nonui display_on_time Total,MAX_TEMP pmu TDEV1,MAX_TEMP pmu TDEV2,MAX_TEMP pmu TDEV3,MAX_TEMP pmu TDEV4,MAX_TEMP pmu TDEV5,MAX_TEMP soc THERMAL0,MAX_TEMP soc THERMAL1,MAX_TEMP soc THERMAL2,MIN_TEMP pmu TDEV1,MIN_TEMP pmu TDEV2,MIN_TEMP pmu TDEV3,MIN_TEMP pmu TDEV4,MIN_TEMP pmu TDEV5,MIN_TEMP soc THERMAL0,MIN_TEMP soc THERMAL1,MIN_TEMP soc THERMAL2,STOP_TESTABLE_DEVICE CHECK_PROCESS_CONTROL,TestGroup Failure Action,UsbLocation UsbLocation
Display Name ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDCA Priority ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
Upper Limit ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lower Limit ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Measurement Unit ----->,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,s,s,s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA
FXGL,D53,G6TZJ00CP82Y,D53-PRO1MINI,D53-PRO1MINI_G2R1WH,010189,FXGL_C03-3F-DQE_55_SW-DOWNLOAD,PASS,2019-11-07 09:09:51,2019-11-07 09:28:34,,0.0.2-18A21371f,C079414005HMVVQ0,Foxconn,F8Y9374M0BTN48K19,Sunwoda Electronics Co. Ltd.,G6T94170015P70YAQ,FXGL,,,,,G6T94170016P876AT,FXGL,C0794140077P5571,Foxconn,G6T9415002GP70XAD,FXGL,FWP9373Z0M8MVFYG9,DNM9356041RN9674B,18A21371f,DN89362ACL8N2835H,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,3,87293,223662,310955,34.3,38.79,35.12,40.77,36.39,38.85,38.32,0,27.36,28.48,27.75,29.89,28.4,26.21,26.53,0,,,343216128
FXGL,D53,G6TZJ00GP82J,D53-PRO1MINI,D53-PRO1MINI_G2M3WH,010131,FXGL_C03-3F-DQE_48_SW-DOWNLOAD,FAIL,2019-11-07 09:03:55,2019-11-07 09:05:39,TestGroup Failure Action,0.0.2-18A21371g,C079407007FMVVQ0,Foxconn,FG993850109N48N1C,Huapu Technology (Simplo),G6T9415000FP70YAK,FXGL,,,,,G6T9415000EP876AQ,FXGL,C079407007RP5571,Foxconn,G6T94140009P70XAT,FXGL,FWP9403Z11LMVFYQJ,DNM937300DDN9678A,18A21371g,DN893635S2GN2835V,Nil,,,,,,,,,,,39.02,42.79,39.67,46.84,43.2,50.84,48.42,0,31.1,32.91,31.52,33.73,31.9,37.45,37.43,0,,,337055744
FXGL,D53,G6TZJ01LP82Y,D53-PRO1MINI,D53-PRO1MINI_G2R1WH,010240,FXGL_C03-3F-DQE_59_SW-DOWNLOAD,PASS,2019-11-07 09:10:56,2019-11-07 09:19:49,,0.0.2-18A21371f,C079414007AMVVQ0,Foxconn,F8Y9374M0DTN48K13,Sunwoda Electronics Co. Ltd.,G6T9417001NP70YA7,FXGL,,,,,G6T9417000MP876AF,FXGL,C07941400B5P5571,Foxconn,G6T9415001XP70XA1,FXGL,FWP9373Z0UDMVFYGH,DNM935603YPN9674P,18A21371f,DN89362ABLNN28354,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,3,292127,71759,363886,41.53,44.62,41.6,49.36,45.52,47.12,45.75,0,30.53,31.86,30.28,33.59,31.6,30.28,30.87,0,,,437457680
FXGL,D53,G6TZK00LP83K,D53-PRO1MINI,D53-PRO1MINI_G3M11W,010262,FXGL_C03-3F-DQE_48_SW-DOWNLOAD,PASS,2019-11-07 09:39:05,2019-11-07 09:50:10,,0.0.2-18A21371g,C0794150099NY139,Foxconn,F8Y9367M04VN48K1U,Sunwoda Electronics Co. Ltd.,G6T9422000GP70YAJ,FXGL,,,,,G6T9422000CP711AG,FXGL,C07941400CVP55D1,Foxconn,G6T9417003KP70XA5,FXGL,FWP9373Z2JZMVFYGR,FX89391TZQBN9692X,18A21371g,DN8937700E0N2832J,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,3,106260,120358,226618,38.68,42.52,39.14,46.76,42.86,48.26,46.2,0,32.86,34.49,32.86,35.17,33.5,32.96,33.07,0,,,336859136
FXGL,D53,G6TZK01YP83J,D53-PRO1,D53-PRO1_G3R3B,010519,FXGL_C03-3F-DQE_61_SW-DOWNLOAD,PASS,2019-11-07 09:09:11,2019-11-07 09:17:42,,0.0.2-18A21371f,C07941500CQNY139,Foxconn,F8Y9414N05PN48K1B,Sunwoda Electronics Co. Ltd.,G6T9426000BP70YAK,FXGL,,,,,G6T9426000YP710AT,FXGL,C079415011WP55D1,Foxconn,G6T9424000LP70XAD,FXGL,FWP9364Z0T5MVFYFZ,DNM9373006WN9678E,18A21371f,DN89377005VN2832G,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,3,222645,79801,302446,39.73,43.2,40.34,46.6,43.69,46.34,44.51,0,30.69,32.91,31.6,33.55,31.86,30.53,30.84,0,,,437477632
FXGL,D53,G6TZL003P82T,G2A20WH,,,FXGL_C03-1.5FT-16_12_SW-DOWNLOAD,FAIL,2019-11-07 09:39:57,2019-11-07 09:41:15,TestGroup Failure Action,0.0.2-18A21371f,C079427009UMVVQ0,Foxconn,FG99385011UN48N1Q,Huapu Technology (Simplo),G6T9436000TP70YA0,FXGL,,,,,G6T9436000AP876AM,FXGL,C07942700DKP5591,Foxconn,G6T9434003NP70XAZ,FXGL,FWP9373Z0V3MVFYGQ,DNM93560221N96740,18A21371f,DN8937700MNN28329,Nil,,,,,,,3,72029,114541,186570,35.17,38.74,35.97,39.49,36.49,46.04,45.43,0,31.31,32.38,31.64,33.04,31.69,35.23,34.79,0,,,487788544
FXGL,D53,G6TZL003P82T,G2A20WH,,,FXGL_C03-1.5FT-16_12_SW-DOWNLOAD,FAIL,2019-11-07 09:44:47,2019-11-07 09:45:09,TestGroup Failure Action,0.0.2-unknown,C079427009UMVVQ0,Foxconn,FG99385011UN48N1Q,Huapu Technology (Simplo),G6T9436000TP70YA0,FXGL,,,,,G6T9436000AP876AM,FXGL,C07942700DKP5591,Foxconn,G6T9434003NP70XAZ,FXGL,FWP9373Z0V3MVFYGQ,DNM93560221N96740,unknown,DN8937700MNN28329,Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487788544
FXGL,D53,G6TZL006P82T,G2A20WH,,,FXGL_C03-1.5FT-16_12_SW-DOWNLOAD,PASS,2019-11-07 09:14:13,2019-11-07 09:23:12,,0.0.2-18A21371f,C079427009WMVVQ0,Foxconn,FG993850118N48N1A,Huapu Technology (Simplo),G6T9436000NP70YA5,FXGL,,,,,G6T94360003P876AU,FXGL,C07942700BFP5591,Foxconn,G6T94340054P70XAB,FXGL,FWP9373Z3Z7MVFYG5,DNM935602KNN9674W,18A21371f,DN893739RTHN2832G,Miss bbpvpcrtappvtcrtpspceCfgrCfg,,,,,,,3,28279,62848,91127,35.22,36.39,35.17,37.34,36.08,46.21,44.57,0,30.85,31.86,30.69,32.82,31.6,33.48,33.81,0,,,487788544
FXGL,D53,G6TZL006P83J,G3A18BE,,,FXGL_C02-2F-RD_44_SW-DOWNLOAD,FAIL,2019-11-07 09:14:08,2019-11-07 09:15:12,TestGroup Failure Action,0.0.2-unknown,C07943200JJNY139,Foxconn,F8Y9414N08XN48K1U,Sunwoda Electronics Co. Ltd.,G6T9434004FP70YA2,FXGL,,,,,G6T9434000XP710AT,FXGL,C07943200AEP55D1,Foxconn,G6T9433003XP70XAR,FXGL,FWP9373Z2TEMVFYGH,FX89367NXWKN9696D,unknown,F8P936402JPN2842B,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342949888
FXGL,D53,G6TZL00AP833,G2A27W,,,FXGL_C03-1.5FT-16_13_SW-DOWNLOAD,FAIL,2019-11-07 08:45:47,2019-11-07 08:47:07,TestGroup Failure Action,0.0.2-18A21371f,C079433001UMVVQ0,Foxconn,FG9938500BQN48N1Z,Huapu Technology (Simplo),G6T94370013P70YAL,FXGL,,,,,G6T94370006P876AQ,FXGL,C0794330050P5581,Foxconn,G6T9436003QP70XAV,FXGL,FWP9392Z219MVFYP6,DNM935603S8N9674N,18A21371f,DN8937700V2N28325,Nil,,,,,,,4,60452,189857,250309,31.64,35.12,32.29,36.81,33.32,39.12,37.07,0,22.29,24.84,22.8,27.15,24.34,23.59,23.81,0,,,341901312
FXGL,D53,G6TZL00AP833,G2A27W,,,FXGL_C03-1.5FT-16_13_SW-DOWNLOAD,FAIL,2019-11-07 08:47:52,2019-11-07 08:48:13,TestGroup Failure Action,0.0.2-unknown,C079433001UMVVQ0,Foxconn,FG9938500BQN48N1Z,Huapu Technology (Simplo),G6T94370013P70YAL,FXGL,,,,,G6T94370006P876AQ,FXGL,C0794330050P5581,Foxconn,G6T9436003QP70XAV,FXGL,FWP9392Z219MVFYP6,DNM935603S8N9674N,unknown,DN8937700V2N28325,Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D53,G6TZL00AP833,G2A27W,,,FXGL_C03-1.5FT-16_13_SW-DOWNLOAD,FAIL,2019-11-07 08:48:18,2019-11-07 08:48:42,TestGroup Failure Action,0.0.2-unknown,C079433001UMVVQ0,Foxconn,FG9938500BQN48N1Z,Huapu Technology (Simplo),G6T94370013P70YAL,FXGL,,,,,G6T94370006P876AQ,FXGL,C0794330050P5581,Foxconn,G6T9436003QP70XAV,FXGL,FWP9392Z219MVFYP6,DNM935603S8N9674N,unknown,DN8937700V2N28325,Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D53,G6TZL00AP833,G2A27W,,,FXGL_C03-1.5FT-16_13_SW-DOWNLOAD,FAIL,2019-11-07 09:19:27,2019-11-07 09:20:28,TestGroup Failure Action,0.0.2-18A21371f,C079433001UMVVQ0,Foxconn,FG9938500BQN48N1Z,Huapu Technology (Simplo),G6T94370013P70YAL,FXGL,,,,,G6T94370006P876AQ,FXGL,C0794330050P5581,Foxconn,G6T9436003QP70XAV,FXGL,FWP9392Z219MVFYP6,DNM935603S8N9674N,18A21371f,DN8937700V2N28325,Nil,,,,,,,4,60647,190003,250650,32.64,36.44,33.32,38.68,34.78,39.78,37.62,0,22.29,24.84,22.8,27.15,24.34,23.59,23.81,0,,,341901312
FXGL,D53,G6TZL00AP833,G2A27W,,,FXGL_C03-1.5FT-16_13_SW-DOWNLOAD,FAIL,2019-11-07 09:22:43,2019-11-07 09:23:09,TestGroup Failure Action,0.0.2-unknown,C079433001UMVVQ0,Foxconn,FG9938500BQN48N1Z,Huapu Technology (Simplo),G6T94370013P70YAL,FXGL,,,,,G6T94370006P876AQ,FXGL,C0794330050P5581,Foxconn,G6T9436003QP70XAV,FXGL,FWP9392Z219MVFYP6,DNM935603S8N9674N,unknown,DN8937700V2N28325,Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D53,G6TZL00AP833,G2A27W,,,FXGL_C03-1.5FT-16_13_SW-DOWNLOAD,FAIL,2019-11-07 09:23:14,2019-11-07 09:23:31,TestGroup Failure Action,0.0.2-unknown,C079433001UMVVQ0,Foxconn,FG9938500BQN48N1Z,Huapu Technology (Simplo),G6T94370013P70YAL,FXGL,,,,,G6T94370006P876AQ,FXGL,C0794330050P5581,Foxconn,G6T9436003QP70XAV,FXGL,FWP9392Z219MVFYP6,DNM935603S8N9674N,unknown,DN8937700V2N28325,Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D53,G6TZL00AP833,G2A27W,,,FXGL_C03-1.5FT-16_13_SW-DOWNLOAD,FAIL,2019-11-07 09:23:39,2019-11-07 09:27:25,TestGroup Failure Action,0.0.2-unknown,C079433001UMVVQ0,Foxconn,FG9938500BQN48N1Z,Huapu Technology (Simplo),G6T94370013P70YAL,FXGL,,,,,G6T94370006P876AQ,FXGL,C0794330050P5581,Foxconn,G6T9436003QP70XAV,FXGL,FWP9392Z219MVFYP6,DNM935603S8N9674N,unknown,DN8937700V2N28325,Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341901312
FXGL,D53,G6TZL00BP83K,G3R7WJ,,,FXGL_C03-3F-DQE_55_SW-DOWNLOAD,PASS,2019-11-07 09:51:01,2019-11-07 10:03:47,,0.0.2-18A21371f,C07942600B6NY139,Foxconn,FG9939500REN48P1X,Huapu Technology (Simplo),G6T9434003HP70YA3,FXGL,,,,,G6T94340004P711AK,FXGL,C07942500A0P55D1,Foxconn,G6T94320016P70XAP,FXGL,FWP9364Z45GMVFYDN,FX89387TZTRN96925,18A21371f,F8P936402P8N2842B,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,3,271086,86108,357194,45.37,50.35,46.6,50.91,46.68,65.9,62.84,0,30.2,31.9,30.28,33.5,31.35,30.85,31.25,0,,,343216128
FXGL,D53,G6TZL00JP83K,G3R7WJ,,,FXGL_C03-3F-DQE_58_SW-DOWNLOAD,PASS,2019-11-07 08:41:04,2019-11-07 08:49:48,,0.0.2-18A21371f,C079426006RNY139,Foxconn,FG99395004KN48P1M,Huapu Technology (Simplo),G6T9434002KP70YA4,FXGL,,,,,G6T94340005P711AJ,FXGL,C079425007CP55D1,Foxconn,G6T94320002P70XAW,FXGL,FWP9364Z5DUMVFYDK,FX89387TZPDN9692V,18A21371f,F8P936402HUN28429,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,3,151034,90062,241096,35.92,40.71,37.02,41.99,38.62,42.92,40.85,0,29.23,31.18,29.85,32.2,30.28,28.09,28.28,0,,,437399808
FXGL,D53,G6TZL00JP83K,G3R7WJ,,,FXGL_C03-3F-DQE_55_SW-DOWNLOAD,PASS,2019-11-07 09:52:08,2019-11-07 10:03:47,,0.0.2-18A21371f,C079426006RNY139,Foxconn,FG99395004KN48P1M,Huapu Technology (Simplo),G6T9434002KP70YA4,FXGL,,,,,G6T94340005P711AJ,FXGL,C079425007CP55D1,Foxconn,G6T94320002P70XAW,FXGL,FWP9364Z5DUMVFYDK,FX89387TZPDN9692V,18A21371f,F8P936402HUN28429,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,,,,,49.71,59.49,53.78,58.72,48.92,57.18,56.23,0,31.6,33.73,32.25,34.92,32.64,33.95,34,0,,,343150592
FXGL,D53,G6TZL00KP82H,D53-PRO1,D53-PRO1_G2R5BEH,010688,FXGL_C03-3F-DQE_45_SW-DOWNLOAD,PASS,2019-11-07 08:43:32,2019-11-07 08:51:35,,0.0.2-18A21371g,C07942400E5MVVQ0,Foxconn,FG994220093N48P1B,Huapu Technology (Simplo),G6T9432000RP70YA6,FXGL,,,,,G6T94320016P875AT,FXGL,C07942400CJP5571,Foxconn,G6T94260071P70XA9,FXGL,FWP9364Z21NMVFYFQ,FX89366NWP8N9696D,18A21371g,F8P936201WNN28454,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,3,142117,110190,252307,36.86,39.02,36.08,39.67,36.28,47.57,45.35,0,29.04,29.97,29,30.97,29.65,31.68,31.43,0,,,337842176
FXGL,D53,G6TZL00KP82H,D53-PRO1,D53-PRO1_G2R5BEH,010688,FXGL_C03-3F-DQE_44_SW-DOWNLOAD,PASS,2019-11-07 09:11:29,2019-11-07 09:19:39,,0.0.2-18A21371h,C07942400E5MVVQ0,Foxconn,FG994220093N48P1B,Huapu Technology (Simplo),G6T9432000RP70YA6,FXGL,,,,,G6T94320016P875AT,FXGL,C07942400CJP5571,Foxconn,G6T94260071P70XA9,FXGL,FWP9364Z21NMVFYFQ,FX89366NWP8N9696D,18A21371h,F8P936201WNN28454,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,3,143170,110387,253557,35.17,38.62,35.42,40.03,36.7,47.82,45.64,0,30.81,32.03,30.85,33.23,31.69,35.59,35.34,0,,,336670976
FXGL,D53,G6TZL00WP82H,D53-PRO1,D53-PRO1_G2R5BEH,010699,FXGL_C03-3F-DQE_45_SW-DOWNLOAD,PASS,2019-11-07 09:06:55,2019-11-07 09:14:52,,0.0.2-18A21371g,C07942400GZMVVQ0,Foxconn,FG9942200EBN48P1N,Huapu Technology (Simplo),G6T9432000PP70YA8,FXGL,,,,,G6T9432000BP875AR,FXGL,C07942400B2P5571,Foxconn,G6T94260063P70XAA,FXGL,FWP9364Z0BRMVFYFT,FX89366NWKEN9696K,18A21371g,F8P936201TYN28453,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,3,159744,84738,244482,40.34,43,40.59,46.76,43.48,48.57,48.57,0,29.11,30.16,29.04,31.52,29.5,32.54,32.37,0,,,338038784
FXGL,D53,G6TZL00WP83K,G3R7WJ,,,FXGL_C03-3F-DQE_55_SW-DOWNLOAD,PASS,2019-11-07 09:51:01,2019-11-07 10:02:55,,0.0.2-18A21371f,C07942600J2NY139,Foxconn,FG99395007VN48P12,Huapu Technology (Simplo),G6T94340031P70YAK,FXGL,,,,,G6T9434000RP711AY,FXGL,C079425007BP55D1,Foxconn,G6T94320005P70XAT,FXGL,FWP9364Z5SFMVFYDT,FX89387TZTUN96922,18A21371f,F8P936402Q7N28429,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,3,315521,81886,397407,44.33,50.08,46.37,50.17,44.92,55.32,53.54,0,29.69,31.26,30.05,32.64,31.06,30.26,30.96,0,,,343281664
FXGL,D53,G6TZL011P83K,G3R7WJ,,,FXGL_C03-3F-DQE_55_SW-DOWNLOAD,PASS,2019-11-07 09:09:38,2019-11-07 09:28:23,,0.0.2-18A21371f,C07942600GYNY139,Foxconn,FG99395008TN48P11,Huapu Technology (Simplo),G6T9434002SP70YAX,FXGL,,,,,G6T94340010P711AL,FXGL,C0794250093P55D1,Foxconn,G6T94320011P70XAU,FXGL,FWP9364Z69EMVFYDA,FX89387TZWNN9692Z,18A21371f,F8P9364024SN2842G,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,3,272808,67039,339847,50.91,60.82,54.63,60.55,51.67,60.21,59.64,0,34.44,36.08,34.78,36.91,35.62,42.43,40.96,0,,,343347200
FXGL,D53,G6TZL016P83K,G3R7WJ,,,FXGL_C03-3F-DQE_55_SW-DOWNLOAD,PASS,2019-11-07 09:09:38,2019-11-07 09:28:26,,0.0.2-18A21371f,C07942600FFNY139,Foxconn,FG993950064N48P1W,Huapu Technology (Simplo),G6T9434002HP70YA6,FXGL,,,,,G6T9434000FP711A8,FXGL,C079425009YP55D1,Foxconn,G6T9432001RP70XA4,FXGL,FWP9364Z55QMVFYDD,FX89387TZUUN9692Z,18A21371f,F8P93640281N2842V,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,3,266419,65003,331422,54.85,65.57,58.72,65.57,54.74,69.17,68.04,0,27.12,28.48,27.22,30.16,28.44,27.57,27.68,0,,,343085056
FXGL,D53,G6TZL018P836,D53-PRO1,D53-PRO1_G2A15BJE,010864,FXGL_C03-1.5FT-16_12_SW-DOWNLOAD,PASS,2019-11-07 09:25:16,2019-11-07 09:34:17,,0.0.2-18A21371f,C079425001YMVVQ0,Foxconn,FG99395001UN48P1M,Huapu Technology (Simplo),G6T9434000WP70YAZ,FXGL,,,,,G6T9434000FP875AK,FXGL,C079425000JP5591,Foxconn,G6T9433000FP70XAG,FXGL,FWP9392Z091MVFYPS,FX89367NXG6N96960,18A21371f,F8P936402U7N2842X,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,3,83773,292196,375969,,,,,,,,,,,,,,,,,,,487788544
FXGL,D53,G6TZL01BP836,D53-PRO1,D53-PRO1_G2A15BJE,010867,FXGL_C02-2F-RD_44_SW-DOWNLOAD,FAIL,2019-11-07 09:04:24,2019-11-07 09:06:24,TestGroup Failure Action,0.0.2-18A21371l,C0794250019MVVQ0,Foxconn,FG9939500AVN48P1T,Huapu Technology (Simplo),G6T9434000SP70YA3,FXGL,,,,,G6T94340001P875AZ,FXGL,C079425001LP5591,Foxconn,G6T94330017P70XAM,FXGL,FWP9392Z0XYMVFYPX,FX89367NXGDN9696T,18A21371l,F8P936402HWN28427,Nil,,,,,,,3,61971,335494,397465,40.34,42.52,41.28,43.48,41.99,57.01,54.9,0,26.06,28.07,26.91,29.11,27.57,28.84,28.73,0,,,342949888
FXGL,D53,G6TZL02TP83K,G3RW4W,,,FXGL_C03-3F-DQE_51_SW-DOWNLOAD,PASS,2019-11-07 09:52:36,2019-11-07 10:00:45,,0.0.2-18A21371h,C079432006JNY139,Foxconn,FG99385019KN48N19,Huapu Technology (Simplo),G6T9437000DP70YAD,FXGL,,,,,G6T94370007P711AD,FXGL,C0794310034P55D1,Foxconn,G6T94340010P70XAT,FXGL,FWP9363Z01VMVFYEP,DNM935601T0N9674V,18A21371h,DN8937700PKN28326,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,3,157945,44219,202164,39.97,44.92,41.6,44.99,41.34,45.57,44.35,0,29.97,31.47,30.28,31.86,30.28,29.85,29.98,0,,,336675072
FXGL,D53,G6TZL032P83K,D53-PRO1,D53-PRO1_G3RW4W,,FXGL_C03-3F-DQE_44_SW-DOWNLOAD,PASS,2019-11-07 09:21:41,2019-11-07 09:28:34,,0.0.2-18A21371h,C079432006HNY139,Foxconn,FG9938500VHN48N1L,Huapu Technology (Simplo),G6T94370008P70YAJ,FXGL,,,,,G6T9437000JP711A2,FXGL,C079431004LP55D1,Foxconn,G6T9434000QP70XA6,FXGL,FWP9363Z1K6MVFYER,DNM935601RXN96744,18A21371h,DN89377006CN2832W,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,4,86590,33880,120470,38.56,43.55,39.67,44.55,40.59,44.95,44.68,0,25.67,27.22,25.87,28.37,26.67,30.01,28.89,0,,,336859136
FXGL,D53,G6TZL032P83K,D53-PRO1,D53-PRO1_G3RW4W,,FXGL_C03-3F-DQE_56_SW-DOWNLOAD,PASS,2019-11-07 09:38:43,2019-11-07 09:46:38,,0.0.2-18A21371g,C079432006HNY139,Foxconn,FG9938500VHN48N1L,Huapu Technology (Simplo),G6T94370008P70YAJ,FXGL,,,,,G6T9437000JP711A2,FXGL,C079431004LP55D1,Foxconn,G6T9434000QP70XA6,FXGL,FWP9363Z1K6MVFYER,DNM935601RXN96744,18A21371g,DN89377006CN2832W,Miss bbpvpcrttcrtpspceCfgrCfg,,,,,,,4,86939,33941,120880,32.77,34.2,32.91,35.27,33.45,44.15,42.62,0,31.69,33.55,31.86,34.58,32.6,34.98,35.14,0,,,343150592
FXGL,D53P,G6TZH00EP851,D53-PRO1MINI,D53-PRO1MINI_P2CMFC4S,010050,FXGL_C02-2F-RD_44_SW-DOWNLOAD,FAIL,2019-11-07 08:47:30,2019-11-07 08:47:47,TestGroup Failure Action,0.0.2-unknown,C079403009ZNY619,Foxconn,F8Y9374M07XN48K1H,Sunwoda Electronics Co. Ltd.,G6T94070012P70YAW,FXGL,,,,,G6T9407000KP879AH,FXGL,C079403005TP55H1,Foxconn,G6T9406000KP70XAJ,FXGL,,,unknown,,Nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342949888
